sentence,sentiment,dictionary_classification
total value two contract eur million .,neutral,neutral
"( adp news ) - oct , - finnish consulting engineering company poyry oyj ( omx : poyv ) say today award eur . million ( usd . ) extension exist consultancy engineering contract venezuel",positive,positive
service pricing detail disclose .,neutral,neutral
"$ tsla recalls , model x vehicles ; shares volatile # tsla # tech # stockmarket",negative,negative
"equipment manufacture vaahto ' workshop hollola , finland schedule shipment first quarter .",neutral,neutral
$ fb still dog go much low week,negative,negative
expand plant schedule operational middle october .,neutral,neutral
"july - september , yit ' net sale increase eur . mn , compare eur . mn corresponding period .",positive,-1
"finland , op - pohjola ' staff union boycott group ' insurance sale task company refuse take sale insurance account determine wage .",negative,-1
aforementione shareholder inform propose annual general meeting number member board directors shall five besides present member board director also mr lassi noponen shall elect board director .,neutral,neutral
"$ tsla recall , model x car . stock drop hard ...",negative,negative
"finland , insurance company pohjola finnish motorcyclist association sign agreement aim improve motorcyclist ' traffic safety .",positive,positive
"tikkurila , division kemira group , control % russian market field own st. petersburg paint producer tex . .",neutral,neutral
department store division report increase sale per cent .,positive,positive
"baltic country , atria ' target organic growth .",neutral,neutral
operate profit rise eur . mn eur . corresponding period .,positive,positive
group ' revenue amount eur million company currently employ approximately people .,neutral,neutral
board director also propose dividend eur . per outstanding share pay .,neutral,neutral
$ ea point two facebook game accuse $ znga copyright infringement .,negative,negative
"second quarter , group ' net profit rise eur . eur . april - june .",positive,positive
otherwise situation control .,neutral,neutral
juniper tumble q warning ; cisco also lower $ jnpr $ csco,negative,negative
"beer , olvi retain market position .",neutral,neutral
"finland , city forssa say pay compensation food industry company hk ruokatalo atria lye leak tap water occur march .",negative,-1
"accord late information , benefon launch twig device september .",neutral,neutral
"export account . % net sale , represent time record company .",positive,positive
"accord nordic financial group nordea ' analyst sami sarkamies , make nokia ' portfolio competitive .",positive,positive
"payment . million lita interest long - term loan provide ragutis ' majority shareholder , estonia ' . le coq , also add loss .",neutral,-1
aspocomp large factory china factory building project india halt due financing problem .,neutral,-1
"finnish steel maker rautaruukki oyj ( ruukki ) say july , . mln euro ( $ . mln ) contract supply install steel superstructure partihallsforbindelsen bridge project gothenburg , western sweden .",positive,positive
"profit period total eur . mn , eur . mn corresponding period .",neutral,-1
"operate profit turnover six - month period increase , respectively , eur . eur . , compare corresponding period .",positive,positive
"helsinki thomson financial - shares cargotec fall sharply early afternoon trade cargo handle group post surprise drop april - june profit , overshadow large number new order receive three month .",neutral,-1
doubt grow glaxosmithkline ' $ bln capital return plan,negative,negative
altogether subject mildly elevate cholesterol level participate four - month long intervention .,neutral,neutral
", share still subscribe series e share option , max .",neutral,neutral
"comptel corporation sami ervio president ceo , distribution : nasdaq omx helsinki major medium comptel dynamic oss solution enable telecom service provider deliver service flexibly charge effectively .",neutral,neutral
"operate profit nine - month period increase eur . net sale increase eur . , compare corresponding period .",positive,positive
absolut bank explore possibility borrowing .,neutral,neutral
$ nke gap time high # tradeidea,positive,positive
value order around eur million .,neutral,neutral
"elisa say mobile subscription grow percent , mainly customer adopt -called third generation mobile technology .",positive,positive
"q , profit taxis amount eur . mn , eur . mn q .",negative,-1
berkshire hathaway name kara raiguel lead general unit,neutral,neutral
"srv raise hold company summer , majority .",positive,positive
"olvi , control percent stake ragutis . le coq , say annual report publish early year lithuanian brewery ' sale reach . million euro last year , rise . percent . million euro .",positive,positive
"kesko offer hilton open hotel kalinisky prospect , -square metre build difficulty .",neutral,neutral
result negotiation company decide make people redundant financial production ground .,neutral,-1
air traffic finland stoppage since .,neutral,-1
new b share carry right dividend shareholder right effect today .,neutral,neutral
also traditional grapevine carry lot weight .,neutral,neutral
"company continuous need alloy nickel , ferro - chrome , molybdenum manganese production , say talvivaara .",neutral,neutral
"rautakesko ' business operation norway russia , acquire july , include figure comparable period , impact sale growth start august .",neutral,neutral
"fair value property portfolio double result kapiteeli acquisition total eur , . , . million .",positive,positive
company say measure long need .,neutral,neutral
reduction notice apply people .,neutral,-1
"omx helsinki index . pct low , . , omx helsinki cap portfolio index . pct , . .",negative,-1
bm middle layer headbox equip dilution control system .,neutral,neutral
"cencorp estimate net sale last quarter early state , eur . eur . , operating profit ( ebit ) estimate positive .",positive,positive
$ fti breakout today report earning last night,positive,positive
"fourth quarter , atria ' net loss shrink eur . million eur . million net sale contract eur . million eur . million .",positive,positive
"therefore , company ' result remain weak .",negative,-1
"however , simdax remain available market already approve marketing authorisation submit application country , orion add .",positive,positive
relief lewis tesco see sale grow first time year,positive,positive
$ tspt long .,positive,positive
relations city damage comment mr ashley criticise city investor analyst ` ` cry baby '' .,neutral,-1
honkarakenne oyj - world - lead manufacturer genuine wooden home - sponsor finnish crosscountry skier virpi kuitunen next three year .,neutral,neutral
company say observe current stabilisation price potential high price delivery first quarter .,positive,positive
eur million transaction consideration pay form four - year interest - bear vendor note .,neutral,neutral
ruukki group calculate lose eur mn fail project .,neutral,-1
$ fb big money pour facebook direction ;,positive,positive
scania morgan stanley lift share target swedish heavy - duty truck bus maker scania ab crown ( $ . - . euro ) crown ( $ . - . euro ) .,positive,positive
", teliasonera net sale sek bn , ebitda sek . bn , net income sek . bn .",neutral,neutral
"uponor make operating profit eur . mn , eur . mn , make record year .",positive,positive
tekla structures ` team ' compatible windows operating system .,neutral,neutral
"country : , finland sector : construction - real estate target : pohjolan design - talo oy buyer : capman oyj vendor : ruukki group oyj deal size usd : . type : divestment status : agree",neutral,neutral
"finnish suominen corporation make wipe , nonwoven , flexible packaging , plant near warsaw , poland , make flexible packaging .",neutral,neutral
"operate profit , exclude non - recurring item , total eur . mn , eur . mn corresponding period .",neutral,-1
"` ` however , rapidly increase cost strengthen euro challenge whole industry , impact result . ''",neutral,-1
"net profit three month march fall ( xac ) million ( us$ million ) ( xac ) million year early , finnish company say .",neutral,-1
"nokia oyj ' production site bochum , germany , post profit interest mln eur , capital report excerpt article release tomorrow , cite internal document .",neutral,neutral
"rapala vmc corporation stock exchange release october , . kaupthing bank oyj ( ` ` kapthing '' ) inform rapala vmc corporation ( ` ` rapala '' ) interrupt liquidity provide rapala ' share time .",negative,-1
divest activity net sale eur . million operating profit eur . million .,neutral,neutral
$ wynn big bounce,positive,positive
"polish business employ , people , net sale eur mn .",neutral,neutral
"royal mail , johnson matthey lead ftse lower",negative,negative
morrison face festive sale test,negative,negative
"dirk jones , head financial institutions client sales management , gts , citigroup , inc , say , ` citi extremely pleased provide global custody service pohjola group bank .",positive,positive
"fda approve nps drug , move validate shire takeover deal",positive,positive
october - finnish metal product company componenta oyj hel : cthv say yesterday net loss narrow eurm first nine month eur . period .,positive,positive
"period ' sale drop eur . eur . , accord interim report , release today .",negative,-1
"department store sale improve % eur , . mn .",positive,positive
"executive say country brazil , chile , argentina mexico lead adoption business ethernet service segment , brazil mexico early adopter carrier ethernet mobile backhaul .",neutral,neutral
marketing use tikkurila ' exist infra structure local knowledge russia .,neutral,neutral
$ twtr good scenario go forward stock slowly fall everyday .... quite probable ...,negative,negative
"baird like $ tsla - upgrade outperform , lift price target $ . research firm also see capital raise necessary next qtrs",positive,positive
"global sport equipment maker amer sports corp. , whose brand include atomic , salomon wilson , see percent increase third - quarter net profit euro . million $ million strong sale cost cut .",positive,positive
$ fb watch bounce tomorrow,positive,positive
"addition , company consider start production russia .",neutral,neutral
netcom expect complete turbo g deployment area year .,neutral,neutral
j+ñrvi - suomen portti also plan reduce use sodium nitrite .,neutral,neutral
"accord ceo matti perkonoja parent company hkscan , company ' performance first quarter remain clearly level corresponding period .",negative,-1
"company publish financial statement february , .",neutral,neutral
"share sale , foreign finnish investor , expect raise euro million ( us$ million ) .",neutral,neutral
$ spy ' hold wednesday thursday close . ' lean bullish . small postion . wait .,positive,positive
"finnish plumbing heating system supplier uponor ' net sale continue operation decrease . % eur . mn eur , . mn .",negative,-1
"handset also feature media bar quick access favorite medium application , include music , photo , youtube ovi share .",neutral,neutral
finnish honkarakenne specialise build log house planning use pine russian karelia .,neutral,neutral
among big christmas seller satin bow shift dress style outfit wear victoria beckham paris hilton prom dress .,neutral,neutral
unaudited consolidated result aspocomp group ifrs reporting standard .,neutral,neutral
"comparable operating profit quarter decrease eurm sale increase eurm , compare third quarter .",neutral,-1
$ rad chart flashing oversold .,neutral,neutral
$ fb gettin buy zone soon ;),positive,positive
order value eurm .,neutral,neutral
"finnish financial software solution developer basware oyj say net profit fall , euro ( $ . mln ) first quarter . mln euro ( $ . mln ) year early .",neutral,-1
window awful force upgrade pc without consent ? # window # microsoft $ msft,negative,negative
"finnish forest machinery equipment maker ponsse oyj say october , deliver total cut -- length method forest machine harvester head brazilian paper maker bahia pulp unnamed uruguayan wood harvesting contractor .",positive,positive
"finnish software company qpr software plc ( omx helsinki : qprv ) report thursday ( october ) operating profit eur , net sale eur . third quarter .",neutral,neutral
"operate profit net sale nine - month period increase , respectively . % . % , compare corresponding period .",positive,positive
international conference call audio webcast concern financial result january - march begin . eet .,neutral,neutral
"finnish kemira ' net sale eur decrease eur , . mn january - june eur , . mn january - june .",negative,-1
"$ zsl look weak , could good short setup .",negative,negative
"rme telcontar enable handset calculate good route include support user - define route , feature navigability multi - modal routing via foot ferry .",neutral,neutral
call switchboard directory service decrease significantly since employee --date contact information colleague customer phone place call directly .,neutral,neutral
"ap : caterpillar post percent jump q profit steep global sale increase , top wall st. view > $ cat",positive,positive
insurance policy simple .,neutral,neutral
nokia capcom announce resident evil degeneration release n - gage later year .,neutral,neutral
"steelmaker say drop profit explain continue economic uncertainty , mixed current drought bank lending , result decline demand product customer find increasingly difficult fund operation .",negative,-1
$ spy weak close,negative,negative
compass group say positive year ahead,positive,positive
upm - kymmene say ` indicate interest domestic consolidation ' .,neutral,neutral
also turn earning per share ( eps ) eur . versus loss per share eur . .,positive,positive
"janno reiljan , member eesti energia supervisory board , say owner narva power grid inform eesti energia wish sell .",neutral,neutral
"antibody , administer repeat dose mg - kg , generally well tolerate , pharmacokinetic characteristic btt- psoriasis patient consistent observe previously complete study rheumatoid arthritis ra patient .",neutral,neutral
"medium advisory , ntsb say subsequent testing , ` ` train detection system intermittently fail . ''",neutral,-1
"accord honka japan ' managing director marko saarelainen , honkarakenne export ready make log house japan year .",neutral,neutral
"consolidated , unaudited result amanda capital ifrs reporting standard .",neutral,neutral
finnish daily kauppalehti surmise finnish supplier rautaruukki raise price aker ' comfort zone .,neutral,-1
"tornio works employ , , scope fix - period part - time temporary layoff april - october period .",neutral,-1
result taxis loss . million euro .,neutral,neutral
bhp billiton drag ftse low slash dividend,negative,negative
"alma media hold % company , remain share own company ' key employee .",neutral,neutral
"member oneworld alliance , include american airlines british airways .",neutral,neutral
"many commercial vessel got stick narrow bay bothnia , ice thick , around aaland island .",neutral,-1
"follow acquisition , relacom strengthen presence finland , serve operator office market mobile fix network construction , installation maintenance service .",positive,positive
ponsse project forest machine market improve expect previous year .,positive,positive
"ahlstrom corporation anne pirila director , financial communication distribution : helsinki stock exchange main medium ahlstrom brief ahlstrom leader development , manufacture marketing high performance fiber - base material .",neutral,neutral
february - finnish textile clothing company marimekko oyj hel : mmov say today preliminary operating profit grow eur . eur . .,positive,positive
"price raw material aluminium go end , company consider outlook favourable .",positive,positive
volatility squeeze $ aapl . hope gets resolve upside,neutral,neutral
"ramirent ' net sale second quarterended june euro . million u .. $ million , .-percent increase compare euro . million thesecond quarter last year .",positive,positive
"fortum hold . pct share capital . pct voting right company , plan delist warsaw stock exchange .",neutral,neutral
"north - rhine westphalia - issue benchmark , year fix rate deal euros .",neutral,neutral
"f - secure report : - first half see grow number target malware attack individual , company , organization .",neutral,neutral
$ yelp wayyy overvalue right imo . trade single digit . may take short pos . earning . near term target ......,negative,negative
"domestic business , best- already close finnish dog owner .",positive,positive
"donation grant aalto university university helsinki , tampere , turku , eastern finland , jyv+ñskyl+ñ , oulu vaasa , polytechnic announce later .",neutral,neutral
"neste oil extend yesterday ' gain put . pct . eur , utility fortum shed . pct . eur .",neutral,neutral
@scottrade $ tsla available short time ? $ w ?,negative,negative
"finnish neste oil previously list , fall list completely .",neutral,neutral
webcast may follow online company website .,neutral,neutral
yit say acquisition part strategy expansion central eastern european market .,positive,positive
"hayward , calif.-base target design active , casual dress footwear , well boot sandal .",neutral,neutral
"area highly value , land already build .",neutral,neutral
"company , ready invest fund deal rostelecom rts : rtkm .",positive,positive
qpr product family fully compatible microsoft ' windows operating system .,neutral,neutral
"address location provide local controller , preferably wireless transmission , use address location access appliance control module .",neutral,neutral
use proceed transaction achieve target .,neutral,neutral
@ch_roark : $ unxl like ascending triangle -minute chart . breakout come monday ! promise .,positive,positive
"profit tax eur . mn , eur . mn .",negative,-1
"` ` please work fujitsu ntt docomo advance progress lte , '' say juergen walter , head converged core , nokia siemens networks .",positive,positive
"information release september , nokia ' american depositary share fall % .",neutral,-1
amer sports company develop manufacture technically advanced product improve performance active sport participant .,neutral,neutral
company pledge new software would render e - mail document much appear desktop computer .,neutral,neutral
"rory fitzgerald , general manager , operation , bristol port , say : ` ` use low maintenance technology save per cent servicing , plus load sense hydraulic save we extra per cent fuel consumption . ''",positive,positive
kingfisher takeover mr bricolage could hit brick wall,negative,negative
"( adpnews ) - may , - finnish cutlery hand tool maker fiskars oyj abp ( hel : fisas ) say today net profit decline eur . million ( usd ) first quarter eur million correspond",negative,-1
"frost sell share $ million $ .- . per share , compare friday ' high $ . low $ . .",neutral,-1
"accord preliminary datum slovakia ' statistics office , good worth e . million import finland january october , make . percent slovakia ' total import .",neutral,neutral
niam offer financial investor high return via investment fund turn invest type property .,neutral,neutral
$ avgo great growth stk & also raise dividend . clearly great investment,positive,positive
skf april - alandsbanken give ` ` buy '' recommendation swedish industrial company skf ab ( sto : skf b ) share price target sek .,positive,positive
"trading code : eliv number share : , price - share : gratuitous transfer , elisa hold total , , share .",neutral,neutral
deal subject approval norwegian competition authority .,neutral,neutral
fortum intend spend much ( euro ) . bn become sole owner tgk- .,neutral,neutral
"period ' sale drop eur . million eur . million , accord interim report , release today .",neutral,-1
solution use upgrading network russian mso different city russia .,positive,positive
` ` combine activity create value shareholder good employee customer .,positive,positive
confirm view july .,neutral,neutral
glencore blame rival create metal glut,negative,negative
estonia ' beer market overall grow three percent last year million liter .,positive,positive
"business transfer take effect january , connection employee transfer elisa daxtum continue employee .",neutral,neutral
"llc , voice datum management solution provider wireless company operation worldwide , transfer u .. deployment operation finnish mobile giant , include civil work site acquisition service .",neutral,neutral
company also compensate act reserve batch plant .,positive,positive
@asdfllc . nice pop today . tell ya would green haha . funny bring . ' actually work story $ nok moment,positive,positive
"cerberus capital management lp - back printing paper maker newpage corp. post mixed second - quarter result , cast cloud plan initial public offering .",negative,-1
$ ino back small post,positive,positive
"` ` ' pension insurance company , ' require diversify put much one asset class .",neutral,neutral
"` ` p & ferries efficient powerful vessel dover calais route , '' head shipbuilder ' rauma yard , timo suistio , say .",positive,positive
"$ pcln back "" "" trendline /",positive,-1
"( adp news ) - feb , - finnish construction company lemminkainen oyj ( hel : lems ) say today net profit decrease eur . million ( usd . ) eur . million .",negative,-1
"time , nokia , india ' large mnc , seek topic could spark million approach ` creativity emerging markets .",neutral,neutral
' see . day sma big hurdle . good base building . $ nflx,positive,positive
autotank group part aspo ' systems division .,neutral,neutral
"medium advisory , ntsb say subsequent testing , ` ` train detection system intermittently fail . ''",negative,-1
"wartsila contract october plant instal manturovo kostroma region russia , km northeast moscow , russia .",positive,positive
elisa commission finland ' poyry telecom oy conduct study reception estonia ' large city besides tallinn .,neutral,neutral
fortum also block stake northwestern tgk- .,neutral,neutral
report full - year result august .,neutral,neutral
agree company ' board directors available advisory role .,neutral,neutral
"kaupthing forecast finnish - swedish stora enso close mill reisholz , germany .",neutral,neutral
"finnish silicon wafer technology company okmetic oyj ( omx helsinki : okmv ) report thursday ( august ) operating profit eur . period january - june , eur . corresponding period .",positive,-1
` ` ruukki include djsi world second year run european djsi stoxx third year run .,neutral,neutral
new credit suisse boss face stiff challenge asia,negative,negative
"operate loss total eur . mn , compare loss eur . mn corresponding period - .",negative,-1
"operate profit eur - . mn , eur . mn .",neutral,-1
russia ' video international group hold control stake russian media ventures .,neutral,neutral
earning per share ( eps ) amount loss eur . .,neutral,-1
"siriusxm add , net new subscriber first quarter $ siri # ceo # sale # marketresearch # tech # entrepreneur # speaker",positive,positive
"nordic exchange , omx offer access approximately percent nordic baltic security market .",neutral,neutral
"group ' business sector building construction , infrastructure construction , technical building services , building products .",neutral,neutral
"thanksto improvement demand adjustment make , theutilization rate cramo ' fleet substantiallyimprove . ''",positive,positive
", net profit eurm company pay dividend eur . apiece .",neutral,neutral
fda approve shire ' vyvanse binge - eat disorder,positive,positive
micron shares pound fears loss business apple ; stifel defend $ aapl $ mu @marjo,negative,negative
finnish office supply computer accessory dealer beltton - group plc say net profit rise . mln euro ( $ . mln ) . mln euro ( $ . mln ) .,positive,positive
update -berkshire apply boost wells fargo stake pct,positive,positive
use validation rule base enable verify processing rule basis manage different administrator fulfil set requirement .,neutral,neutral
"finnish exel composites , technology company design , manufacture , market composite profile tube various industrial application , report net sale decrease . % second quarter eur . mn eur . mn corresponding period .",negative,-1
"national conciliator juhani salonius , meet party wednesday , say far apart view propose mediation .",neutral,-1
long $ x .,positive,-1
"number class share remain unchanged , , share .",neutral,neutral
operate profit fall eur . mn eur . mn third quarter .,negative,-1
pipeline strong .,positive,positive
implementation project carry finnish company yit association investment fund evli property investment russia ( epi ) .,neutral,neutral
extraordinary general meeting expect take place later february .,neutral,neutral
"rautalinko resposnible also mobility services , job division continue marek hintze .",neutral,neutral
"operate result show loss eur . mn , year , show profit eur . mn .",negative,-1
"( adp news ) - dec , - finnish construction engineering company outotec oyj ( omx : otev ) say today eur million ( usd . ) order expand phosphate concentrator siilinjarvi norwegian minera",positive,positive
"method smell spout separate work area shield wall , arrange movable relation smell spout .",neutral,neutral
"kesko ' car import retailing business , vv - auto , see sale grow . pct .",positive,positive
"pretax profit rise eur , mn eur , correspond period .",positive,positive
$ coh gaining momentum ! nice buy signal ! long $ .,positive,positive
"investor continue interested company ' share although quite cheap , affarsvarlden say .",positive,positive
"$ slw , weekly $ call ( -.% ) , . x . volume . worth chance , jmho :",positive,positive
member board numerous com - panie shareholder boardman ltd board specialist net - work .,neutral,neutral
finnish vacon sign significant deal norwegian scandinavian electric systems ( ses ) supply ac drive .,positive,positive
"finnish kemira group ' ceo , lasse kurkilahti , say group ' structural reorganisation continue least year .",neutral,neutral
". pm , omx helsinki . pct , . omx helsinki . pct low , . mln eur turnover .",neutral,-1
figure include food export finland .,neutral,neutral
also upset machinery work take poland .,neutral,-1
"operation sell include manufacture unit finland , france , poland turkey , well sale unit germany lithuania .",neutral,neutral
"operate income eur - . mn , include eur . mn restructuring expense .",neutral,neutral
company distribute hiab ' product well product .,neutral,neutral
fcc chairman kevin martin say fair play require extend deregulatory rule digital subscriber line telecom provider use broadband network .,neutral,neutral
pretax profit rise eur . mn eur . mn .,positive,positive
"alliance aim tap pocketable mobile computer , netbook , tablet , mediaphone , connect tv -vehicle infotainment system .",neutral,neutral
buffett ' company reports percent drop q earning,negative,negative
"tikkurila powder coatings employee four paint plant , generate revenue eur . usd . .",neutral,neutral
finnish bore own rettig family grow recently acquisition small shipping company .,positive,positive
satama trainers ' house remain name independent brand business area .,neutral,neutral
"operate profit total eur . mn , eur . mn .",neutral,-1
"operate profit total eur . mn , eur . mn year early .",negative,-1
"complete name shareholder : otto henrik bernhard nyberg information , please contact maija - liisa friman , ceo , tel . + .",neutral,neutral
emerge market raisio choose enter far mark relatively low per capita food consumption .,neutral,neutral
$ camt look like might break . ',negative,negative
commission income fall eur . mn eur . mn corresponding period .,neutral,-1
take marimekko distinctly significant scale .,neutral,neutral
"early today , geberit ' finnish rival uponor oyj cut full - year sale growth forecast pct pct , blame tough condition germany us , well currency factor .",negative,-1
"yesterday , legrand issue e million fix rate deal mature .",neutral,neutral
"course , ' direct access nokia ' ovi store , ' lot fun download favorite medium .",neutral,neutral
"operate result -month period decrease profit eur . turnover decrease eur . , compare .",negative,-1
": cet monday , share bavarian nordic climb . % dkk stock exchange copenhagen lose . % past month .",positive,positive
repeats see ebita pct sale .,positive,positive
construction project schedule start second quarter new building schedule place end .,neutral,neutral
"` ` hope clarify policy finnish business gray area , '' motlanthe say .",neutral,neutral
bank ' leasing arm nordea liising end year profit . million euro .,neutral,neutral
company ' board director propose dividend eur . per share .,neutral,-1
"` ` however , rapidly increase cost strengthen euro challenge whole industry , impact result . ''",negative,-1
"argentine agricultural export company calafate tap compatriot firm finnegans software solution , latter company say statement .",neutral,neutral
"` ` delight announce support intel base handheld platform , capability make development easy fast .",positive,positive
$ nflx $ tsla making kind gain 📈,positive,positive
short $ altr . loss,positive,-1
"operate profit total eur . mn , eur . mn first half .",negative,-1
"$ fb trend , hit mid ' drop",negative,negative
"finland , op - pohjola ' staff union boycott group ' insurance sale task company refuse take sale insurance account determine wage .",neutral,-1
"several large stock tack lower , however .",neutral,-1
"jvc stop produce dvd player brazil : jvc brazil , subsidiary japan ' jvc group announce stop production dvd player brazil .",neutral,neutral
"$ amzn trade mid upper range . break yet , either direction",neutral,neutral
roshan ' net sale $ million ebitda $ . million .,neutral,neutral
term condition stock option scheme available company ' internet page .,neutral,neutral
"earning per share eps amount eur . , loss eur . .",positive,-1
joint procurement later extend factory baltic country .,neutral,neutral
"( adpnews ) - dec , - finnish cutlery hand tool maker fiskars oyj abp ( hel : fisas ) say today make redundant total office management staff member subsidiary iittala group ltd. .",neutral,-1
( acquisition sum disclose . ),neutral,neutral
sale tiimari segment fall . % year -- year eur . june .,negative,-1
"finnish sampo bank , danish danske bank group , report profit tax eur . mn , eur . mn .",positive,-1
revenue grow percent ( xac ) . billion ( us$ . billion ) .,positive,positive
share acquire accordance section rule nasdaq omx helsinki rule applicable acquisition share .,neutral,neutral
please invite join -real ' international conference call : p .. eet .,neutral,neutral
"fourth quarter , net sale increase % eur , . mn eur , . mn fourth quarter .",positive,-1
"basware headquarter espoo , finland .",neutral,neutral
"stock trading maps -day map sek . high -day map sek . , bullish indicator .",positive,positive
order plywood mill machinery equipment announce finnish raute september deliver thebault plyland france .,neutral,neutral
swedish player become majority owner ucell mid- .,neutral,neutral
"result , people make redundant total person lay temporarily .",negative,-1
$ aapl short term fund / redemption liquidation .. channel clear soon solid footing . $ new floor come july ! :),negative,negative
astrazeneca teams daiichi sankyo sell movantik us,positive,positive
nd = disclose .,neutral,-1
"` ` contract demonstrate ability apply mineral metal technology adjacent industry , oil shale processing .",positive,positive
stock hit profit warn finnish rival rautaruukki oyj ( omx : rtrks ) .,neutral,-1
"empresa de desarrollo urbano de quito , innovar - uio , ecuador commission poyry prepare feasibility study new urban rapid mass transit system .",neutral,neutral
finnish technology company raute corporation ( omx helsinki : rutav ) issue tuesday ( september ) profit warn financial year .,neutral,-1
rsa ' share close . p time go press .,neutral,neutral
$ rcon upside today . thing severe low float . catalyst guy . run .,positive,positive
"$ je look like bounce . would nice finish $ today , make hammer . nice volume . bottom . finger cross",positive,positive
audio webcast available live archive cerner ' web site .,neutral,neutral
$ aapl goldman sachs reiterate conviction buy apple $ pt $ spy $ djia $ gs,positive,positive
"copying , republication redistribution afx news content , include frame similar mean , expressly prohibit without prior write consent afx news .",neutral,neutral
ouch look like $ tsla short getting skin,positive,positive
first two project phase expect complete end .,neutral,neutral
$ pg ackman make big add efficiency argument . bet operational imporvement huge conglomerate go either way imo .,positive,positive
"operate profit sale three - month period increase , respectively eur . eur . , compare corresponding period .",positive,positive
"end last week , protalix biotherapeutics inc ( amex : plx ) publish prospectus first offer amex % share capital .",neutral,neutral
efore decide establish company eletric vehicle ( ev ) business china .,neutral,neutral
"managing director ' comment : ` ` net sale first quarter notably low year , especially finland , russia baltic country .",negative,-1
passenger tunnel expect put operation .,neutral,neutral
tata steel work stanchart uk unit sale - source,positive,positive
"request finnish medium company alma media ' newspaper , research manager jari kaivo - oja finland futures research centre turku school economics draw future scenario finland ' national economy use model develop university denver .",neutral,neutral
"result , start negotiation bank provisional amendment concern covenant credit term .",neutral,neutral
activity range development natural resource retailed marketing finish product .,neutral,neutral
$ plug close short position . small gain . interested option expire worthless,positive,positive
"apple inc. iphone will n ' change game plan verizon communications inc. , chief executive ivan seidenberg say wednesday .",neutral,neutral
production capacity increase tonne per year raw material continue recycle paper board .,positive,positive
astrazeneca sell us drug right perrigo $ mln,positive,positive
short interest increase yet via @ryandetrick $ spy,negative,negative
"process products order installation separation - filtration equipment three natural gas pipeline project china , south america , saudi arabia .",neutral,neutral
$ hznp have not see vol like since runup . let see one dip .x,negative,negative
"subscription increase cargotec ' share capital , euro .",positive,positive
diluted earning per share ( eps ) stand eur . versus eur . .,neutral,-1
"daily mail owner consider yahoo bid $ yhoo , , %",positive,positive
"` ` vessel order help aspo secure long - term competitiveness fleet , term technology pricing .",positive,positive
"second quarter , net sale operator business partner represent % group ' total net sale .",neutral,neutral
arcelormittal chief executive officer lakshmi mittal already cut output furnace .,negative,-1
", space blond wood floor ( unlike rest store ) notably scandinavian vibe .",neutral,neutral
propose consolidation activity impact approximately position .,neutral,neutral
consumption forecast grow % .,positive,positive
update -eu regulator back approval gsk injectable asthma drug,positive,positive
starbuck downgrade day new downgrade reward program start $ sbux,negative,negative
warmly welcome !,neutral,-1
efore ' ceo reijo maihaniemi say company develop already deliver power supply unit respective system base technology chinese sector company zte corp : .,neutral,neutral
"earning per share quarter come . eur , . eur quarter year early .",positive,positive
"export make per cent sale , name glaston also reflect truly internationally operate company , '' explain kyro ' president & ceo mika seitovirta .",neutral,neutral
"ruukki romania , local arm finnish metal producer ruukki , increase capital , euro ( $ . mln ) cash contribution , report september , .",positive,positive
"global markets direct ' pohjola bank plc - financial analysis review -depth business , financial analysis pohjola bank plc . .",neutral,neutral
sabmiller revenue hit weak em currency,negative,negative
abb deutsche bank upgrade recommendation swiss - swedish engineering group abb ltd. ` buy ' ` hold ' .,positive,positive
"czech republic , profiling unit ostrava close machinery relocate ruukki ' big plant hungary , poland romania end first quarter .",neutral,neutral
"ackman , email , say support valeant ceo pearson",positive,positive
"floor area yliopistonrinne project , sq , sq ft build ' gross area total , sq . total . % facility let .",neutral,neutral
aldata say still number operational aspect define microsoft detail product market initiative result agreement available later date .,neutral,neutral
"nokia share hit . euro friday , percent start year part slow introduction touch - screen model .",negative,-1
"internal revenue service see percent taxpayer wait last two week file , million return file april .",neutral,neutral
solidium pick tikkurila share dividend book value eur . per share .,neutral,neutral
bank see potential getinge share rise .,positive,positive
finnish food industry company l+ñnnen tehtaat planning change fish product business .,neutral,neutral
"quarterly dilute eps continue operation come . eur , compare last year ' . eur .",positive,positive
"construction work helsinki music centre start autumn , total cost project estimate million euro .",neutral,neutral
@nvestor : $ soda .% float short . lol,negative,negative
"tieto latvia represent service company tietoenator alise tietoenator , operation industry financial services cards , retail logistics outsourcing managed services .",neutral,neutral
"citigroup , inc ( nyse : c ) announce global transaction services ( gts ) business award new mandate finland - base pohjola bank group .",positive,positive
uponor maintain full - year guidance .,neutral,neutral
stora enso oyj say second - quarter result would fall half compare period .,neutral,-1
"latin america currently account approximately % sale tecnotree , company president ceo eero mertano recently tell bnamericas .",neutral,neutral
asset management expert manage asset worth eur billion .,neutral,neutral
tesco lead ftse high clubcard bid report,positive,positive
finnair able operate leisure flight despite strike .,positive,positive
"nokia ' share price fall less one percent . euro ( $ . ) helsinki , siemens share fall . percent . euro ( $ . ) frankfurt .",negative,-1
"teliasonera ' underlie result however include mln skr positive one - off , hence adjust underlie ebitda actually amount . bln skr , clearly expectation , analyst say .",negative,-1
"finnish software hardware developer elektrobit oyj hel : ebgv , eb , say today temporarily lie people maximum day finland , aim achieve cost saving eur . million usd second half .",negative,-1
operate profit fall eur . mn second quarter eur . mn second quarter .,negative,-1
